gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4535876426,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/66825783,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,,,GENUS,Sarcoscypha (Fr.) Boud.,Sarcoscypha,,UA,,Kiev,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,50.34222,30.469317,21,,,,,,2020-12-20T15:11:03,20,12,2020,2581823,,HUMAN_OBSERVATION,iNaturalist,Observations,66825783,,T. Pedro Hafermann,2024-02-29T07:16:04,CC_BY_NC_4_0,vlasskyorech,vlasskyorech,,,2025-05-16T19:21:04.608Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4535875440,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/75338003,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,,,GENUS,Sarcoscypha (Fr.) Boud.,Sarcoscypha,,UA,,Zhytomyr,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,50.154148,27.689264,31,,,,,,2021-04-26T14:52Z,26,4,2021,2581823,,HUMAN_OBSERVATION,iNaturalist,Observations,75338003,,Massimo Tabone,2021-04-26T18:38:42,CC_BY_NC_4_0,Олександр Гриб,Олександр Гриб,,,2025-05-16T19:50:56.041Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4535873430,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/59635737,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,,,GENUS,Sarcoscypha (Fr.) Boud.,Sarcoscypha,,UA,,Cherkasy,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,49.722315,31.488614,15,,,,,,2007-01-01T13:49Z,1,1,2007,2581823,,HUMAN_OBSERVATION,iNaturalist,Observations,59635737,,svg52,2020-09-15T04:18:59,CC_BY_4_0,Vasyliuk Oleksij,Vasyliuk Oleksij,,,2025-05-16T19:00:16.204Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4535869371,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/41100247,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,,,GENUS,Sarcoscypha (Fr.) Boud.,Sarcoscypha,,UA,,Kharkiv,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,49.60569,36.30715,,,,,,,2020-03-29T14:35:50,29,3,2020,2581823,,HUMAN_OBSERVATION,iNaturalist,Observations,41100247,,Yuliana Leshchenko,2020-03-31T12:23:17,CC_BY_4_0,Yuliana Leshchenko,Yuliana Leshchenko,,,2025-05-16T20:17:07.273Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4535868431,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/77032794,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,,,GENUS,Sarcoscypha (Fr.) Boud.,Sarcoscypha,,UA,,Kharkiv,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,49.607058,36.323803,16,,,,,,2021-05-03T13:48:20,3,5,2021,2581823,,HUMAN_OBSERVATION,iNaturalist,Observations,77032794,,Yuliana Leshchenko,2021-05-03T18:56:51,CC_BY_4_0,Yuliana Leshchenko,Yuliana Leshchenko,,,2025-05-16T18:43:44.096Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4535846367,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/39966685,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,,,GENUS,Sarcoscypha (Fr.) Boud.,Sarcoscypha,,UA,,Chernihiv,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,50.880751,33.164845,31,,,,,,2020-03-11T12:30,11,3,2020,2581823,,HUMAN_OBSERVATION,iNaturalist,Observations,39966685,,Denis Davydov,2020-03-14T14:03:00,CC_BY_NC_4_0,Denis Davydov,Denis Davydov,,,2025-05-16T21:13:45.841Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4535797414,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/65890163,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,,,GENUS,Sarcoscypha (Fr.) Boud.,Sarcoscypha,,UA,,Crimea,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.760819,34.346957,14,,,,,,2019-02-20T16:41,20,2,2019,2581823,,HUMAN_OBSERVATION,iNaturalist,Observations,65890163,,T. Pedro Hafermann,2024-02-29T07:17:18,CC_BY_NC_4_0,Богданович Светлана,Богданович Светлана,,,2025-05-16T18:28:06.507Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4535698110,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/200937209,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,,,GENUS,Sarcoscypha (Fr.) Boud.,Sarcoscypha,,UA,,L'viv,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,49.899807,23.753533,8,,,,,,2024-02-25T12:26,25,2,2024,2581823,,HUMAN_OBSERVATION,iNaturalist,Observations,200937209,,dzvin,2024-03-01T20:39:09,CC_BY_NC_4_0,dzvin,dzvin,,,2025-05-16T19:48:01.673Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4535679033,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/200937208,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,,,GENUS,Sarcoscypha (Fr.) Boud.,Sarcoscypha,,UA,,L'viv,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,49.899835,23.753572,31,,,,,,2024-02-25T12:26,25,2,2024,2581823,,HUMAN_OBSERVATION,iNaturalist,Observations,200937208,,dzvin,2024-03-01T20:39:09,CC_BY_NC_4_0,dzvin,dzvin,,,2025-05-16T19:48:15.118Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4535641009,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/200922793,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,,,GENUS,Sarcoscypha (Fr.) Boud.,Sarcoscypha,,UA,,Khmel'nyts'kyy,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,48.652594,26.581689,,,,,,,2024-02-27T19:27,27,2,2024,2581823,,HUMAN_OBSERVATION,iNaturalist,Observations,200922793,,Galyna Mykytynets,2024-03-01T17:34:11,CC_BY_NC_4_0,Galyna Mykytynets,Galyna Mykytynets,,,2025-05-16T20:15:27.570Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
